a52dec 0.7.4-9
lib32-libelf 0.168-1
lib32-libffi 3.2.1-1
lib32-libgcrypt 1.7.3-1
lib32-libglvnd 0.2.999+g4ba53457-2
lib32-libgpg-error 1.24-1
lib32-libgudev 231-1
lib32-libice 1.0.9-1
lib32-libid3tag 0.15.1b-1
lib32-libidn 1.33-1
lib32-libiec61883 1.2.0-1
lib32-libjpeg-turbo 1.5.1-1
lib32-libldap 2.4.44-1
lib32-libogg 1.3.2-1
lib32-libpciaccess 0.13.4-1
lib32-libpng 1.6.29-1
lib32-libproxy 0.4.13-1
lib32-libpulse 10.0-1
lib32-libraw1394 2.1.2-1
lib32-libsamplerate 0.1.9-1
lib32-libshout 2.4.1-2
lib32-libsm 1.2.2-1
lib32-libsndfile 1.0.27-1
lib32-libsoup 2.56.0-1
lib32-libtasn1 4.10-1
lib32-libthai 0.1.26-1
lib32-libtheora 1.1.1-10
lib32-libtiff 4.0.7-1
lib32-libtxc_dxtn 1.0.1-5
lib32-libvisual 0.4.0-5
lib32-libvorbis 1.3.5-1
lib32-libvpx 1.6.1-1
lib32-libx11 1.6.5-1
lib32-libxau 1.0.8-1
lib32-libxcb 1.12-2
lib32-libxdamage 1.1.4-2
lib32-libxdmcp 1.1.2-1
lib32-libxext 1.3.3-1
lib32-libxfixes 5.0.3-1
lib32-libxft 2.3.2-1
lib32-libxi 1.7.7-2
lib32-libxml2 2.9.3-1
lib32-libxrender 0.9.10-1
lib32-libxshmfence 1.2-1
lib32-libxtst 1.2.3-1
lib32-libxv 1.0.11-1
lib32-libxxf86vm 1.1.4-1
lib32-llvm-libs 3.9.1-2
lib32-mesa 17.0.3-1
lib32-ncurses 6.0-2
lib32-nettle 3.3-1
lib32-openssl 1:1.0.2.k-1
lib32-opus 1.1.4-1
lib32-orc 0.4.26-1
lib32-p11-kit 0.23.2-1
lib32-pango 1.40.3-1
lib32-pcre 8.39-1
lib32-pixman 0.34.0-1
lib32-popt 1.16-6
lib32-readline 7.0-1
lib32-speex 1.2.0-1
lib32-speexdsp 1.2rc3-1
lib32-sqlite 3.17.0-1
lib32-systemd 232-1
lib32-taglib 1.11-1
lib32-util-linux 2.29.2-1
lib32-v4l-utils 1.12.3-1
lib32-wavpack 4.80.0-1
lib32-wayland 1.13.0-1
lib32-xz 5.2.3-1
lib32-zlib 1.2.11-1
libaio 0.3.110-1
libarchive 3.3.1-4
libass 0.13.6-1
libassuan 2.4.3-1
libasyncns 0.8+3+g68cd5af-1
libatomic_ops 7.4.4-1
libavc1394 0.5.4-2
libbluray 1.0.0-1
libburn 1.4.6-1
libcaca 0.99.beta19-1
libcanberra 0.30-8
libcanberra-pulse 0.30-8
libcap 2.25-1
libcap-ng 0.7.8-1
libcddb 1.3.2-4
libcdio 0.94-2
libcroco 0.6.11-1
libcue 2.1.0-1
libcups 2.2.3-1
libdaemon 0.14-3
libdatrie 0.2.10-2
libdiscid 0.6.2-1
libdrm 2.4.79-1
libdv 1.0.0-6
libdvdread 5.0.4-1
libedit 20170329_3.1-1
libelf 0.168-1
libepoxy 1.4.1-1
libev 4.24-1
libevdev 1.5.6-1
libevent 2.0.22-2
libexif 0.6.21-2
libffi 3.2.1-2
libfm 1.2.5-1
libfm-extra 1.2.5-1
libfm-gtk2 1.2.5-1
libfontenc 1.1.3-1
libgcrypt 1.7.6-1
libglade 2.6.4-5
libglvnd 0.2.999+g4ba53457-2
libgpg-error 1.27-1
libgudev 231-1
libical 2.0.0-2
libice 1.0.9-1
libid3tag 0.15.1b-8
libidn 1.33-1
libiec61883 1.2.0-4
libimobiledevice 1.2.0-6
libinput 1.7.0-1
libisofs 1.4.6-1
libjpeg-turbo 1.5.1-1
libkeybinder2 0.3.1-1
libkeybinder3 0.3.2-1
libksba 1.3.4-2
